Change ID*+,Impact*,Submitter*,Support Company*+,Support Organization,Support Group Name,Scheduled Start Date+,Scheduled End Date+,Summary*,Notes,Urgency*,Risk Level*
CRQ000000049634,4-Minor/Localized,ADarwesh,Service Operation,Technology,VAS Support,12/13/2011 1:00,12/13/2011 2:00,Change interconnect CDRs creation logic,Change interconnect CDRs creation logic,4-Low,Risk Level 1
CRQ000000049254,4-Minor/Localized,ADarwesh,Service Operation,Technology,VAS Support,12/9/2011 1:00,12/9/2011 2:00,create new modifier for each router to test the pending SMS issue,create new modifier for each router to test the pending SMS issue,4-Low,Risk Level 1
CRQ000000049245,4-Minor/Localized,ADarwesh,Service Operation,Technology,VAS Support,12/9/2011 1:00,12/9/2011 2:00,add new SCs to some lists,add new SCs to some lists,4-Low,Risk Level 1
CRQ000000049125,4-Minor/Localized,ADarwesh,Service Operation,Technology,VAS Support,12/8/2011 1:00,12/8/2011 2:00,add smsPropSmscAddressForHlrOperations to confg file.,add smsPropSmscAddressForHlrOperations to confg file.,4-Low,Risk Level 1
CRQ000000048998,4-Minor/Localized,ADarwesh,Service Operation,Technology,VAS Support,12/7/2011 1:00,12/7/2011 2:00,routing mobinil test GT 201222000350 traffic to ITP-C,routing mobinil test GT 201222000350 traffic to ITP-C,4-Low,Risk Level 1
CRQ000000048677,4-Minor/Localized,ADeen1,Service Operation,Technology,IN,12/3/2011 0:00,12/3/2011 0:10,Add Ons,Add Ons,4-Low,Risk Level 1
CRQ000000048662,4-Minor/Localized,ADeen1,Service Operation,Technology,IN,12/1/2011 0:00,12/1/2011 0:30,SMS Promo and Anniversary,SMS Promo and Anniversary,4-Low,Risk Level 1
CRQ000000048556,4-Minor/Localized,ANemr,Service Operation,Technology,Payment,12/1/2011 14:00,12/1/2011 14:30,"open access from ip 172.28.7.65 to ip 10.230.91.190    ports ftp,sftp,telnet","open access from ip 172.28.7.65 to ip 10.230.91.190    ports ftp,sftp,telnet    as we need to send DWH files to that machine for reporting purposes",4-Low,Risk Level 1
CRQ000000048529,4-Minor/Localized,ADeen1,Service Operation,Technology,IN,12/1/2011 0:00,12/1/2011 0:30,weekend promo,weekend promo,4-Low,Risk Level 1
CRQ000000048409,4-Minor/Localized,ADarwesh,Service Operation,Technology,VAS Support,11/30/2011 1:00,11/30/2011 2:00,create new account for Chordiant,create new account for Chordiant,4-Low,Risk Level 1
CRQ000000048241,4-Minor/Localized,ADarwesh,Service Operation,Technology,VAS Support,11/25/2011 1:00,11/25/2011 2:00,Create new profile for elections SC 5151,Create new profile for elections SC 5151,4-Low,Risk Level 1
CRQ000000048170,4-Minor/Localized,ADarwesh,Service Operation,Technology,VAS Support,11/23/2011 15:00,11/23/2011 16:00,Add new SC to EgyptLinux profile,Add new SC to EgyptLinux Profile,4-Low,Risk Level 1
CRQ000000048145,4-Minor/Localized,ADarwesh,Service Operation,Technology,VAS Support,11/24/2011 1:00,11/24/2011 2:00,to raise Chordiant throughput,to raise Chordiant throughput,4-Low,Risk Level 1
CRQ000000048136,4-Minor/Localized,ADeen1,Service Operation,Technology,IN,11/23/2011 0:00,11/23/2011 0:30,friday promo,friday promo,4-Low,Risk Level 1
CRQ000000047992,4-Minor/Localized,ADeen1,Service Operation,Technology,IN,11/21/2011 0:00,11/21/2011 0:30,Anni promo closure,Anni promo closure,4-Low,Risk Level 1
CRQ000000047887,4-Minor/Localized,ADeen1,Service Operation,Technology,IN,11/19/2011 0:00,11/19/2011 0:30,Anniversary Promo,Anniversary Promo,4-Low,Risk Level 1
CRQ000000047866,4-Minor/Localized,ADarwesh,Service Operation,Technology,VAS Support,11/20/2011 1:00,11/20/2011 3:00,add new AO rule,add new AO rule,4-Low,Risk Level 1
CRQ000000047813,4-Minor/Localized,ADarwesh,Service Operation,Technology,VAS Support,11/17/2011 1:00,11/17/2011 2:00,modify Garfield accounts,modify Garfield accounts,4-Low,Risk Level 1
CRQ000000047755,4-Minor/Localized,ADarwesh,Service Operation,Technology,VAS Support,11/17/2011 1:00,11/17/2011 4:00,reconfigure the existing cluster with a revised retry algorithm,reconfigure the existing cluster with a revised retry algorithm that is a better fit for the current application. The new retry settings will remove the internal bottleneck and ensure that the system performs to expectations.,4-Low,Risk Level 1
CRQ000000047696,4-Minor/Localized,ADeen1,Service Operation,Technology,IN,11/16/2011 0:00,11/16/2011 0:30,1000 sms promo,1000 sms promo,4-Low,Risk Level 1
CRQ000000047537,4-Minor/Localized,ADeen1,Service Operation,Technology,IN,11/15/2011 0:00,11/15/2011 0:30,weekend promo launch and closure,weekend promo launch and closure,4-Low,Risk Level 1
CRQ000000047426,4-Minor/Localized,ADeen1,Service Operation,Technology,IN,11/11/2011 0:00,11/11/2011 0:30,Preact anuual bundle,Preact anuual bundle,4-Low,Risk Level 1
CRQ000000047356,4-Minor/Localized,ADeen1,Service Operation,Technology,IN,11/10/2011 0:00,11/10/2011 0:30,international promo & RX,international promo & RX,4-Low,Risk Level 1
CRQ000000047141,4-Minor/Localized,ADeen1,Service Operation,Technology,IN,11/3/2011 0:00,11/3/2011 0:30,Joker & Joker Plus,Joker & Joker Plus,4-Low,Risk Level 1
CRQ000000047138,4-Minor/Localized,ADeen1,Service Operation,Technology,IN,11/8/2011 0:00,11/8/2011 0:30,Weekend Promo,Weekend Promo,4-Low,Risk Level 1
CRQ000000046819,4-Minor/Localized,ADeen1,Service Operation,Technology,IN,11/2/2011 0:00,11/2/2011 0:30,PerSec BI,Per Second BI,4-Low,Risk Level 1
CRQ000000046815,4-Minor/Localized,ADeen1,Service Operation,Technology,IN,11/2/2011 0:00,11/2/2011 0:30,RX migration,RX migration,4-Low,Risk Level 1
CRQ000000045829,4-Minor/Localized,ADeen1,Service Operation,Technology,IN,10/26/2011 0:00,10/26/2011 0:30,5055*25 closure,5055*25 closure,4-Low,Risk Level 1
CRQ000000045789,4-Minor/Localized,ADeen1,Service Operation,Technology,IN,10/26/2011 0:00,10/26/2011 0:30,deploy *7777#,deploy *7777#,4-Low,Risk Level 1
CRQ000000045601,4-Minor/Localized,ADeen1,Service Operation,Technology,IN,10/24/2011 1:00,10/24/2011 4:00,5678 closure at 1 am,5678 closrue,4-Low,Risk Level 1
CRQ000000045335,4-Minor/Localized,ADeen1,Service Operation,Technology,IN,10/20/2011 0:00,10/20/2011 0:30,DCA script modification,DCA script modification,4-Low,Risk Level 1
CRQ000000045333,4-Minor/Localized,ADeen1,Service Operation,Technology,IN,10/20/2011 0:00,10/20/2011 0:30,MCK_Change WO,MCK_Change WO,4-Low,Risk Level 1
CRQ000000045329,4-Minor/Localized,ADeen1,Service Operation,Technology,IN,10/19/2011 12:00,10/19/2011 12:30,2000 SMS Promo,2000 SMS Promo,4-Low,Risk Level 1
CRQ000000044830,4-Minor/Localized,ADeen1,Service Operation,Technology,IN,10/18/2011 0:00,10/18/2011 0:30,5000 sms promo closure,5000 sms promo closure,4-Low,Risk Level 1
CRQ000000043714,4-Minor/Localized,ADeen1,Service Operation,Technology,IN,9/28/2011 0:00,9/28/2011 0:30,MCK pull opt out,MCK pull opt out,4-Low,Risk Level 1
CRQ000000043372,4-Minor/Localized,ADeen1,Service Operation,Technology,IN,9/22/2011 0:00,9/22/2011 0:30,RX & 5055,RX & 5055,4-Low,Risk Level 1
CRQ000000043303,4-Minor/Localized,ADeen1,Service Operation,Technology,IN,9/21/2011 0:00,9/21/2011 0:30,Friday Promo,Friday Promo,4-Low,Risk Level 1
CRQ000000043302,4-Minor/Localized,ADeen1,Service Operation,Technology,IN,9/21/2011 0:00,9/21/2011 0:30,5000 SMS,5000 SMS,4-Low,Risk Level 1
CRQ000000041273,4-Minor/Localized,ASamy4,Service Operation,Technology,VAS Support,8/23/2011 12:00,8/23/2011 14:00,"Dear Team,    Kindly we need to activate VPN of USSD with policy id 557 on RMD LAN/WAN FWL and policy","Dear Team,    Kindly we need to activate VPN of USSD with policy id 557 on RMD LAN/WAN FWL and policy is 11 & 12 for one month.    ",4-Low,Risk Level 1
CRQ000000040214,4-Minor/Localized,ASamy4,Service Operation,Technology,VAS Support,8/10/2011 0:45,8/10/2011 1:50,call completion VPN,We need your support to open Huawei_VPN with policies 1121 & 941 in Ramadan L/W firewall for 2 weeks,4-Low,Risk Level 1
CRQ000000039755,4-Minor/Localized,ASamy4,Service Operation,Technology,VAS Support,8/4/2011 0:00,8/31/2011 0:00,VPN activation,"Kindly activate policy id 557, 11 & 12 on RMD Lan/Wan FWL and 343 on cairo5 FWL for one month. I will send you a Siebel TT.",4-Low,Risk Level 1
CRQ000000039280,4-Minor/Localized,ASamy4,Service Operation,Technology,VAS Support,7/28/2011 0:00,7/28/2011 12:00,OMN VPN,"Dear Team,    Kindly open the VPN for 2 weeks for our vendor OpenMind with policies 723 & 861 on zahraa LAN/WAN.    Thanks a lot .    Best Regards,  Ahmed Mohamed-Samy",4-Low,Risk Level 1
CRQ000000038814,3-Moderate/Limited,MHousseini,Service Operation,Technology,Charging,7/20/2011 5:30,7/20/2011 10:35,IT Firewall change,"Source :172.28.201.17  Destinations:         (HOST=10.230.85.75)       (PORTS:1524, 23)    Justifcation : for Mobile internet new project .",4-Low,Risk Level 2
CRQ000000038790,4-Minor/Localized,MHousseini,Service Operation,Technology,Charging,7/19/2011 13:58,7/19/2011 16:03,IT Firewall change,open firewall access between     the ip 172.28.201.17 and the Destination 10.230.91.74      Reason : for the Mobile Internet - project  ,4-Low,Risk Level 1
CRQ000000038316,4-Minor/Localized,SKhattab1,Service Operation,Technology,Charging,7/13/2011 8:53,7/13/2011 8:53,"Please activate E// RSG access (emohsam), and reset the password for E// (egerbas) as it dosn't work","Please activate E// RSG access (emohsam), and reset the password for E// (egerbas) as it dosn't work",1-Critical,Risk Level 1
CRQ000000037905,4-Minor/Localized,SKhattab1,Service Operation,Technology,Charging,7/8/2011 11:15,7/8/2011 11:15,"please, activate the following RSG accounts till the End Of the Week  (emingeo/eyaskot,emohsam)","please, activate the following RSG accounts till the End Of the Week  (emingeo/eyaskot,emohsam)",1-Critical,Risk Level 1
CRQ000000037443,4-Minor/Localized,SKhattab1,Service Operation,Technology,Charging,7/4/2011 10:18,7/4/2011 10:18,"please, reactivate E// RSG account (emahhal) till the End Of THe Week.","please, reactivate E// RSG account (emahhal) till the End Of THe Week.",1-Critical,Risk Level 1
CRQ000000037371,4-Minor/Localized,SKhattab1,Service Operation,Technology,Charging,7/3/2011 13:45,7/3/2011 13:45,"please, activate RSG account ""emingeo""","please, activate RSG account ""emingeo""",1-Critical,Risk Level 1
CRQ000000037335,4-Minor/Localized,SKhattab1,Service Operation,Technology,Charging,7/3/2011 10:05,7/3/2011 10:05,RSG activation,account emohsam,4-Low,Risk Level 1
CRQ000000031279,4-Minor/Localized,ASamy4,Service Operation,Technology,VAS Support,5/6/2011 0:00,5/6/2011 1:00,new promo,- Launching the new 19pt promo on USSD SC 104  - Garfiled relaunch.  - Mega promo closure,4-Low,Risk Level 1
CRQ000000030909,4-Minor/Localized,ASamy4,Service Operation,Technology,VAS Support,5/2/2011 22:00,5/3/2011 0:00,500SMSpromo,Kindly remove the white list from the settings of menue 2020 and 230 then reload the menu.  ,4-Low,Risk Level 1
CRQ000000030665,4-Minor/Localized,ASamy4,Service Operation,Technology,VAS Support,4/28/2011 0:00,4/28/2011 1:00,USSD Changes,1- Adding a new VXML file for maclorin menu to enable reporting for that failures.  2- disabling the archiving of the stats file for 24 hours to monitor the performance of the statistics.,4-Low,Risk Level 1
CRQ000000029779,4-Minor/Localized,ASamy4,Service Operation,Technology,VAS Support,4/13/2011 0:00,4/13/2011 2:00,Maclorin SMS script,adding the below SMS script in maclorin SMS    ?????? ???? ????? ?? Vodafone Buzz   ??????? ?? http://vf.eg/buzz  ,4-Low,Risk Level 1
CRQ000000029573,4-Minor/Localized,ASamy4,Service Operation,Technology,VAS Support,4/12/2011 0:00,4/12/2011 1:00,Backup,Implementing a new Backup procedures and will be done by the vendor,4-Low,Risk Level 1
CRQ000000029572,4-Minor/Localized,ASamy4,Service Operation,Technology,VAS Support,4/12/2011 0:00,4/12/2011 1:00,CDR separation      ,"Separating CDR files for sc 505,506,868&858 as below     File Path: /aux1/ocussdbrowser/cdr/505  File prefix: 505CDR*    File Path: /aux1/ocussdbrowser/cdr/506  File prefix: 506CDR*    File Path: /aux1/ocussdbrowser/cdr/868  File prefix: 868CDR*    File Path: /aux1/ocussdbrowser/cdr/858  File prefix: 858CDR*",4-Low,Risk Level 1
CRQ000000028083,4-Minor/Localized,myounes2,Service Operation,Technology,IN,3/22/2011 0:00,3/22/2011 15:00,open firewall connection from comptel production node to tibco prodution DB,open firewall connection from comptel production node to tibco prodution DB,1-Critical,Risk Level 1
CRQ000000027888,4-Minor/Localized,myounes2,Service Operation,Technology,IN,3/21/2011 13:00,3/21/2011 16:00,open firewall connection from comptel production node to tibco prodution DB,open firewall connection from comptel production node to tibco prodution DB  source nodes   172.28.171.23  172.28.171.26  172.28.171.29  172.28.171.30  172.28.171.31  172.28.171.32  172.28.171.33  172.28.171.34  destenation IP   10.230.92.98  port 1525    duration permenat   ,1-Critical,Risk Level 1
CRQ000000020605,4-Minor/Localized,ASamy4,Service Operation,Technology,VAS Support,12/20/2010 0:00,12/20/2010 2:00,Reload 505,Changing a script in PCM 505 menu.,4-Low,Risk Level 1
CRQ000000020604,4-Minor/Localized,ASamy4,Service Operation,Technology,VAS Support,12/16/2010 0:00,12/16/2010 2:00,Reload menus,Loading a new CDR parameters for menu Base_management_promo and hakawy el masreyeen.,4-Low,Risk Level 1
CRQ000000020603,4-Minor/Localized,ASamy4,Service Operation,Technology,VAS Support,12/16/2010 0:00,12/16/2010 2:00,858 & 868 menu reload,Reload 858 and 868 USSD menu to apply a new regular expression on the GT,4-Low,Risk Level 1
CRQ000000020602,4-Minor/Localized,ASamy4,Service Operation,Technology,VAS Support,12/21/2010 0:00,12/21/2010 2:00,SMS closure,Closing the 2 mega SMS promo (500 & 1500) opt in through USSD.    USSD short codes: 2020 & 4040    Reason: Promo finished,4-Low,Risk Level 1
CRQ000000020280,4-Minor/Localized,tezz,Service Operation,Technology,IN,12/16/2010 9:19,12/19/2010 9:19,new firewall rule:  ,new firewall rule:    source (new COMPTEL machines):  172.30.10.235  172.30.10.239  172.30.10.246  172.30.10.250    Destination (TIBCO machine):    10.230.92.97 (DCHQEAI4)      Ports:  ssh & sftp          This access required for the Pre-Paid Throttling project  ,4-Low,Risk Level 1
CRQ000000020243,4-Minor/Localized,AWahed1,Service Operation,Technology,IN,12/16/2010 2:00,12/16/2010 7:00,"Ctivate CAP v2 feature on CCN 6A,7 and 11","CCN 6A,7 and 11",4-Low,Risk Level 1
CRQ000000020162,4-Minor/Localized,MHashish2,Service Operation,Technology,Payment,12/14/2010 15:49,12/14/2010 15:49,test,test,4-Low,Risk Level 1
CRQ000000020028,4-Minor/Localized,AWahed1,Service Operation,Technology,IN,12/14/2010 2:00,12/14/2010 7:00,Activate CAP v2 CDRs on CCN 13 and 20,Activate CAP v2 CDRs on CCN 13 and 20,4-Low,Risk Level 1
CRQ000000019710,4-Minor/Localized,AWahed1,Service Operation,Technology,IN,12/12/2010 2:00,12/12/2010 7:00,"Deploy CAP v2 CDRs on CCN 6B,12 and CCN 16","DEploy CAP v2 CDRs on CCN 6B,12 and CCN 16",4-Low,Risk Level 1
CRQ000000019552,4-Minor/Localized,AWahed1,Service Operation,Technology,IN,12/9/2010 2:00,12/9/2010 7:00,"Activate CAP v2 CDR's on CCN 8, 17","Activate CAP v2 CDR's on  CCN 8, 17",4-Low,Risk Level 1
CRQ000000019382,4-Minor/Localized,AWahed1,Service Operation,Technology,IN,12/6/2010 2:00,12/6/2010 7:00,Activate CAP v2 CDRs on CCN 18 and CCN 9,CCN 18 and CCN 9,4-Low,Risk Level 1
CRQ000000019167,4-Minor/Localized,ASamy4,Service Operation,Technology,VAS Support,12/2/2010 0:00,12/2/2010 2:00,New AVPs parameter,"New PCM 505 and BLACK service 5040 menu  a.	These menus have the new diameter AVPs which will be sent to COMPTEL. (the main reason: comptel will use the parameter to create CDRs).  b.	The new parameters are GT, params and SC.",4-Low,Risk Level 1
CRQ000000019166,4-Minor/Localized,ASamy4,Service Operation,Technology,VAS Support,12/2/2010 0:00,12/2/2010 2:00,Forsa WO,xml is sent via mail,4-Low,Risk Level 3
